Dream,Freud Interpretation,Model Interpretation,BLEU,ROUGE,Perplexity,BERTScore
Falling from a great height,"dream: falling from a great height
interpretation: to dream that you are falling signifies fear of losing control or failing in life.","dream: falling from a great height
interpretation: to dream that you are falling suggests that your subconscious is trying to warn or warn about something. you may be trying too hard not to fall.",0.3589627299986206,0.5,368.8182847593953,0.7678203582763672
Being naked in public,"dream: being naked in public
interpretation: to see that you are naked in public suggests feelings of vulnerability or exposure.","dream: being naked in public
interpretation: to see or dream that you are nude suggests a lack of self-esteem and confidence. you may be feeling insecure about your sexuality, abilities/abilities etc., especially if the image is flattering to",0.22336785871125367,0.43333333333333335,10427.243615882617,0.7364693880081177
Flying,"dream: flying
interpretation: dreaming of flying symbolizes a desire for freedom or escape from constraints.","dream: flying
interpretation: to dream that you are in a hangar signifies your desire to escape from life's daily problems. you may be trying desperately for some sort of release.",2.2284748027385384e-78,0.34782608695652173,,0.66865074634552
Teeth falling out,"dream: teeth falling out
interpretation: if you dream about losing your teeth, it represents anxiety about appearance or communication.","dream: teeth falling out
interpretation: to dream that you are being chased by a hawk represents your fears of death and the consequences thereof. you may be expressing some fear about being chased or stalked by this hawk.",0.11048721210338541,0.3157894736842105,95665.01130834529,0.6610186100006104
Death,"dream: death
interpretation: to dream that you or someone else has died symbolizes change or transition rather than literal death.","dream: death
interpretation: to dream that you are in a coma indicates your inability to cope with life's daily problems. you may be unable or unwilling to confront some situation and its consequences.",0.17681988003060095,0.29629629629629634,,0.6364912390708923
Exams or tests,"dream: exams or tests
interpretation: seeing yourself taking an exam in a dream reflects feelings of being judged or evaluated in waking life.","dream: exams or tests
interpretation: to dream that you are in a test suggests that you need to be more decisive and take action.",0.1751489536280261,0.3404255319148936,14517.842620869198,0.6925967335700989
Being chased,"dream: being chased
interpretation: to dream that you are being chased indicates avoiding a problem or fear in waking life.","dream: being chased
interpretation: to dream that you are being chased suggests that you need to be more cautious in your pursuit of happiness. you may be feeling trapped and unable find a way out or escape from life's daily problems/con",0.25377107541251165,0.44444444444444453,145490575.8879028,0.7195119261741638
Drowning,"dream: drowning
interpretation: if you see yourself drowning, it may symbolize overwhelming emotions or a sense of helplessness.","dream: drowning
interpretation: to dream that you are being drowsy suggests a lack of motivation or motivation. you may be feeling drained and empty. alternatively, the dream represents your inability to get things done.",1.7745179415358185e-78,0.23076923076923078,164.81962971284503,0.6858927607536316
Being late,"dream: being late
interpretation: dreaming of being late suggests stress or fear of missing out on opportunities.","dream: being late
interpretation: to dream that you are late suggests that you need to take advantage of the opportunities presented by your waking life. you may be feeling overwhelmed or overwhelmed with responsibilities.",0.08708008839615716,0.35294117647058826,2201732306.8802514,0.6749159693717957
Being lost,"dream: being lost
interpretation: to see that you are lost in a dream represents confusion, uncertainty, or a lack of direction in life.","dream: being lost
interpretation: to dream that you are being kidnapped suggests a lack of self-worth and/or power. you may be feeling trapped or unable to move beyond your current goals, desires etc., depending on the circumstances surrounding",0.15565725533457161,0.34920634920634924,16520670.452839416,0.6816986799240112
