Dream,Freud Interpretation,Model Interpretation,BLEU,ROUGE,Perplexity,BERTScore
Falling from a great height,"dream: falling from a great height
interpretation: to dream that you are falling signifies fear of losing control or failing in life.","dream: falling from a great height
interpretation: to see or dream that you are falling down indicates your need to be more grounded and rational. you may feel trapped in some situation, unable move forward with life's journey because of the obstacles",0.2534684260065973,0.4615384615384615,35.936448602231806,0.730703592300415
Being naked in public,"dream: being naked in public
interpretation: to see that you are naked in public suggests feelings of vulnerability or exposure.","dream: being naked in public
interpretation: to see or be nude on a stage represents your innermost feelings and desires. you are expressing yourself more freely than you have been previously, especially if the nudity is for an audience of some sort",0.18460744521700595,0.3548387096774194,323.8650262219678,0.6906691193580627
Flying,"dream: flying
interpretation: dreaming of flying symbolizes a desire for freedom or escape from constraints.","dream: flying
interpretation: to dream that you are flying implies your ability to adapt and overcome obstacles. you may be able take on any situation at a moment's notice or in an emergency.",1.6899545172934427e-78,0.28571428571428564,,0.6299179792404175
Teeth falling out,"dream: teeth falling out
interpretation: if you dream about losing your teeth, it represents anxiety about appearance or communication.","dream: teeth falling out
interpretation: to see or eat your teeth in a dream indicates that you are feeling insecure about some aspect of yourself. you may be trying to hide something from others and/or the world. alternatively, it",0.10753822766379068,0.30508474576271183,967.989511936373,0.67336505651474
Death,"dream: death
interpretation: to dream that you or someone else has died symbolizes change or transition rather than literal death.","dream: death
interpretation: to dream that you are dying refers to your feelings of helplessness and death. you feel trapped in some situation or relationship where there is no escape from it. alternatively, the dreaming may be a metaphor for something",0.14518873653998146,0.29508196721311475,,0.6542786359786987
Exams or tests,"dream: exams or tests
interpretation: seeing yourself taking an exam in a dream reflects feelings of being judged or evaluated in waking life.","dream: exams or tests
interpretation: to see an exam in your dream indicates that you need to be more specific and direct with some situation. you may not always know what is going on inside yourself, especially if it relates back into",0.11261117768451277,0.3384615384615384,1603.9057834234961,0.6514800786972046
Being chased,"dream: being chased
interpretation: to dream that you are being chased indicates avoiding a problem or fear in waking life.","dream: being chased
interpretation: to be pursued by a predator represents your need to escape from the stresses of daily life. you are seeking refuge in some unknown place or situation where you can feel safe and protected against all manner  ",0.10794573109024275,0.26229508196721313,628995.3354731009,0.6544922590255737
Drowning,"dream: drowning
interpretation: if you see yourself drowning, it may symbolize overwhelming emotions or a sense of helplessness.","dream: drowning
interpretation: to dream that you are drowning represents your subconscious. you may be feeling overwhelmed or helpless in some situation. alternatively, the dreaming state is a metaphor for death and decay.",1.7563526234704057e-78,0.3529411764705882,129.69150059255804,0.7106822729110718
Being late,"dream: being late
interpretation: dreaming of being late suggests stress or fear of missing out on opportunities.","dream: being late
interpretation: to be ""late"" in a relationship means that you are not taking advantage of your opportunities. you need to take more time for yourself and let others do the work for him/her!",0.07103702656973529,0.29629629629629634,1036555.4707650678,0.5845550298690796
Being lost,"dream: being lost
interpretation: to see that you are lost in a dream represents confusion, uncertainty, or a lack of direction in life.","dream: being lost
interpretation: to be in a state of being ""lost"" implies that you are feeling disconnected from others and unable to connect with them. you may feel like there is something missing or lacking in your life.",0.14116951041404782,0.3870967741935484,61961.90594374943,0.6962877511978149
